Plot Code,Date,state,countyName,Real Latitude,Real Longitude,Hydrologic Regime,Soil Drainage,Water Salinity,Canopy Height (m),Author Location,Area,Elevation(m),Aspect,Slope,Topographic Position,Sampling Level,project,commPrimaryCode,commPrimaryScientific,commPrimaryCommon,commPrimaryDateClassified,commPrimaryFit,soilMapUnit,soilGreatGroup
051-08-0106,27-Jun-2002,South Carolina,Berkeley,33.05493027,-79.74401639,Irregularly flooded,poorly drained,Freshwater,,Francis Marion National Forest,400,10.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL003733,Taxodium ascendens / Panicum hemitomon - Polygala cymosa Woodland,Atlantic Coastal Plain Pond-cypress Savanna,26-Nov-2012,3,"Goldsboro loamy sand, 0 to 2 percent slopes",AQUICPALEUDULTS
051-08-0109,29-Jun-2002,South Carolina,Berkeley,33.06117466,-79.74739195,Irregularly flooded,somewhat poorly drained,,,Francis Marion National Forest,100,8.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004441,Taxodium ascendens / Woodwardia virginica Woodland,Pond-cypress Savanna,16-Dec-2010,3,"Goldsboro loamy sand, 0 to 2 percent slopes",AQUICPALEUDULTS
051-08-0111,02-Jul-2002,South Carolina,Berkeley,33.1588494,-79.60805296,Irregularly flooded,poorly drained,Freshwater,,Francis Marion NF - Twin Bay,1000,12.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004090,Taxodium ascendens - Aristida palustris Depression Woodland,Atlantic Coastal Plain Pond-cypress Depression (Longleaf Three-awn Type),16-Dec-2010,4,Leon fine sand,AERICALAQUODS
051-08-0112,02-Jul-2002,South Carolina,Berkeley,33.15632135,-79.61177951,Semipermanently flooded,poorly drained,Freshwater,,Francis Marion NF - Floridian Bay Flatwoods,200,11.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004090,Taxodium ascendens - Aristida palustris Depression Woodland,Atlantic Coastal Plain Pond-cypress Depression (Longleaf Three-awn Type),15-Dec-2010,5,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0113,03-Jul-2002,South Carolina,Berkeley,33.2202323,-79.51517781,,,,,Francis Marion NF - Eschaw Road,1000,14.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004090,Taxodium ascendens - Aristida palustris Depression Woodland,Atlantic Coastal Plain Pond-cypress Depression (Longleaf Three-awn Type),18-Dec-2010,3,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0114,03-Jul-2002,South Carolina,Berkeley,33.21994062,-79.51567633,Temporarily flooded,poorly drained,Freshwater,,Francis Marion NF - Eschaw Road,1000,14.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004100,"Panicum virgatum - Andropogon (capillipes, glaucopsis) - Aristida palustris Herbaceous Vegetation",Coastal Plain Vernal Pool Depression,20-Dec-2010,3,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0115,04-Jul-2002,South Carolina,Berkeley,33.21500772,-79.52633914,Temporarily flooded,poorly drained,Freshwater,,Francis Marion NF - Red Bluff Bay,1000,9.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004100,"Panicum virgatum - Andropogon (capillipes, glaucopsis) - Aristida palustris Herbaceous Vegetation",Coastal Plain Vernal Pool Depression,16-Dec-2010,2,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0116,04-Jul-2002,South Carolina,Berkeley,33.21576939,-79.52744548,Irregularly flooded,poorly drained,Freshwater,,Francis Marion NF - Red Bluff Bay,1000,5.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004100,"Panicum virgatum - Andropogon (capillipes, glaucopsis) - Aristida palustris Herbaceous Vegetation",Coastal Plain Vernal Pool Depression,20-Dec-2010,3,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0117,04-Jul-2002,South Carolina,Berkeley,33.21445014,-79.53334422,Irregularly flooded,poorly drained,Freshwater,,Francis Marion NF - Red Bluff Bay,100,11.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL003733,Taxodium ascendens / Panicum hemitomon - Polygala cymosa Woodland,Atlantic Coastal Plain Pond-cypress Savanna,15-Dec-2010,4,"Cainhoy fine sand, 0 to 6 percent slopes",TYPIC QUARTZIPSAMMENTS
051-08-0118,04-Jul-2002,South Carolina,Berkeley,33.21460588,-79.5266785,Temporarily flooded,poorly drained,Freshwater,,Francis Marion NF - Red Bluff Bay,200,6.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004752,"Saccharum spp. - Panicum verrucosum - (Rhexia spp., Sabatia spp.) Herbaceous Vegetation",Southeastern Coastal Plain Pond Herbaceous Vegetation (Plumegrass Type),16-Dec-2010,2,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0119,04-Jul-2002,South Carolina,Berkeley,33.21524586,-79.52664738,,,,,Francis Marion NF - Red Bluff Bay,100,7.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004087,Taxodium ascendens / Carex striata - Iris tridentata - (Woodwardia virginica) Depression Woodland,Atlantic Coastal Plain Pond-cypress Depression (Peatland Sedge Type),20-Dec-2010,4,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0120,10-Jul-2002,South Carolina,Berkeley,33.06142095,-79.7502449,Irregularly flooded,poorly drained,Freshwater,,Francis Marion National Forest,1000,8.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL007420,Taxodium ascendens / (Nyssa biflora) / Leucothoe racemosa - Lyonia lucida - Morella cerifera Depression Forest,Pond-cypress Depression Forest,16-Dec-2010,3,Pantego fine sandy loam,UMBRICPALEAQUULTS
051-08-0121,10-Jul-2002,South Carolina,Berkeley,33.05780973,-79.7456569,,,,,Francis Marion National Forest,100,8.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004131,Rhynchospora filifolia - Juncus abortivus Herbaceous Vegetation,Coastal Plain Limesink Pond (Threadleaf Beaksedge Type),16-Dec-2010,2,"Goldsboro loamy sand, 0 to 2 percent slopes",AQUICPALEUDULTS
051-08-0122,11-Jul-2002,South Carolina,Berkeley,33.06222639,-79.7494317,Semipermanently flooded,poorly drained,Freshwater,,Francis Marion National Forest,500,9.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004089,"Taxodium ascendens - Nyssa biflora / Carex striata - Rhynchospora (careyana, cephalantha, microcephala) Stringer Woodland",Atlantic Coastal Plain Pond-cypress Depression (Beaksedge Type),20-Dec-2010,3,"Goldsboro loamy sand, 0 to 2 percent slopes",AQUICPALEUDULTS
051-08-0123,12-Jul-2002,South Carolina,Berkeley,33.05281664,-79.74377804,Semipermanently flooded,poorly drained,Freshwater,,Francis Marion National Forest,500,10.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004089,"Taxodium ascendens - Nyssa biflora / Carex striata - Rhynchospora (careyana, cephalantha, microcephala) Stringer Woodland",Atlantic Coastal Plain Pond-cypress Depression (Beaksedge Type),20-Dec-2010,3,"Goldsboro loamy sand, 0 to 2 percent slopes",AQUICPALEUDULTS
051-08-0124,12-Jul-2002,South Carolina,Berkeley,33.04669876,-79.73799797,Semipermanently flooded,very poorly drained,Freshwater,,Francis Marion National Forest,100,10.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL006242,Cephalanthus occidentalis / Polygonum hydropiperoides - Panicum verrucosum Shrubland,Buttonbush Coastal Plain Pond,20-Dec-2010,3,"Norfolk loamy sand, 0 to 2 percent slopes",TYPIC KANDIUDULTS
051-08-0125,13-Jul-2002,South Carolina,Berkeley,33.21792687,-79.52768726,,,,,Francis Marion National Forest,100,14.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004132,"Rhynchospora (careyana, inundata) Seasonally Flooded Herbaceous Vegetation",Coastal Plain Beaksedge Depression,26-Nov-2012,4,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0126,13-Jul-2002,South Carolina,Berkeley,33.21676843,-79.52359719,Irregularly flooded,poorly drained,Freshwater,,Francis Marion NF - Red Bluff Bay,1000,11.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL007718,Carex striata var. striata - Xyris fimbriata - Lachnanthes caroliana Herbaceous Vegetation,Southern Peatland Sedge Depression,20-Dec-2010,3,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0127,17-Jul-2002,South Carolina,Berkeley,33.15196211,-79.61520711,Permanently flooded,very poorly drained,Freshwater,,Francis Marion NF - Floridian Bay Flatwoods,400,11.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004132,"Rhynchospora (careyana, inundata) Seasonally Flooded Herbaceous Vegetation",Coastal Plain Beaksedge Depression,26-Nov-2012,4,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0128,17-Jul-2002,South Carolina,Berkeley,33.15763402,-79.60146836,Semipermanently flooded,poorly drained,Freshwater,,Francis Marion National Forest,100,13.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL007420,Taxodium ascendens / (Nyssa biflora) / Leucothoe racemosa - Lyonia lucida - Morella cerifera Depression Forest,Pond-cypress Depression Forest,20-Dec-2010,3,"Cainhoy fine sand, 0 to 6 percent slopes",TYPIC QUARTZIPSAMMENTS
051-08-0130,23-Jul-2002,South Carolina,Berkeley,32.98007206,-79.78653232,Semipermanently flooded,poorly drained,Freshwater,,Francis Marion National Forest,300,14.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004441,Taxodium ascendens / Woodwardia virginica Woodland,Pond-cypress Savanna,20-Dec-2010,4,Witherbee fine sand,AERICALAQUODS
051-08-0131,24-Jul-2002,South Carolina,Berkeley,32.98013532,-79.78637948,Semipermanently flooded,poorly drained,Freshwater,,Francis Marion National Forest,1000,14.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004131,Rhynchospora filifolia - Juncus abortivus Herbaceous Vegetation,Coastal Plain Limesink Pond (Threadleaf Beaksedge Type),20-Dec-2010,3,Witherbee fine sand,AERICALAQUODS
051-08-0129,26-Jul-2002,South Carolina,Berkeley,32.97956166,-79.79187653,Permanently flooded,very poorly drained,Freshwater,,Francis Marion National Forest,400,12.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004087,Taxodium ascendens / Carex striata - Iris tridentata - (Woodwardia virginica) Depression Woodland,Atlantic Coastal Plain Pond-cypress Depression (Peatland Sedge Type),20-Dec-2010,4,Chipley-Echaw complex,
051-08-0133,29-Jul-2002,South Carolina,Berkeley,32.94876494,-79.833322,Irregularly flooded,poorly drained,Freshwater,,Francis Marion National Forest,400,15.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004089,"Taxodium ascendens - Nyssa biflora / Carex striata - Rhynchospora (careyana, cephalantha, microcephala) Stringer Woodland",Atlantic Coastal Plain Pond-cypress Depression (Beaksedge Type),17-Dec-2010,4,Witherbee fine sand,AERICALAQUODS
051-08-0132,31-Jul-2002,South Carolina,Berkeley,32.94961303,-79.83331164,Semipermanently flooded,poorly drained,Freshwater,,Francis Marion National Forest,300,13.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL007420,Taxodium ascendens / (Nyssa biflora) / Leucothoe racemosa - Lyonia lucida - Morella cerifera Depression Forest,Pond-cypress Depression Forest,17-Dec-2010,3,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0134,31-Jul-2002,South Carolina,Berkeley,32.94859453,-79.83444347,Irregularly flooded,poorly drained,Freshwater,,Francis Marion National Forest,100,14.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL003733,Taxodium ascendens / Panicum hemitomon - Polygala cymosa Woodland,Atlantic Coastal Plain Pond-cypress Savanna,17-Dec-2010,3,Chipley-Echaw complex,
051-08-0135,01-Aug-2002,South Carolina,Berkeley,32.95244871,-79.8338708,,,,,Francis Marion National Forest,300,13.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL003733,Taxodium ascendens / Panicum hemitomon - Polygala cymosa Woodland,Atlantic Coastal Plain Pond-cypress Savanna,26-Nov-2012,3,Witherbee fine sand,AERICALAQUODS
051-08-0136,01-Aug-2002,South Carolina,Berkeley,32.95287613,-79.83882994,Irregularly flooded,poorly drained,Freshwater,,Francis Marion National Forest,1000,14.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004090,Taxodium ascendens - Aristida palustris Depression Woodland,Atlantic Coastal Plain Pond-cypress Depression (Longleaf Three-awn Type),17-Dec-2010,2,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0137,03-Aug-2002,South Carolina,Berkeley,32.95113511,-79.83131218,Semipermanently flooded,poorly drained,Freshwater,,Francis Marion National Forest,100,12.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004441,Taxodium ascendens / Woodwardia virginica Woodland,Pond-cypress Savanna,20-Dec-2010,5,Pickney loamy fine sand,CUMULICHUMAQUEPTS
068-FRMA-104,13-Sep-2002,South Carolina,Berkeley,33.2722,-79.62806,Intermittently flooded,,,,Gaillard Lake Oak-Hickory,1000,98.4,90,2,Lowslope,4,FMNF - NatureServe Milo Pyne,CEGL004092,Quercus pagoda - Carya cordiformis / Chasmanthium sessiliflorum - Verbesina virginica Forest,Atlantic Coastal Plain Mesic Cherrybark Oak - Hickory Forest,11-Sep-2012,,,
068-FRMA-19,21-Oct-2002,South Carolina,Charleston,33.08147322,-79.66883528,Saturated,,,,Wambaw Swamp Wilderness #1,200,,135,2,Lowslope,4,FMNF - NatureServe Milo Pyne,CEGL003671,Pinus serotina - Gordonia lasianthus / Lyonia lucida Woodland,,11-Sep-2012,,,
068-FRMA-16,21-Oct-2002,South Carolina,Berkeley,33.34701858,-79.78734504,Temporarily flooded,,,,Santee River Bottoms #1,1000,,-2,2,Low level,4,FMNF - NatureServe Milo Pyne,CEGL007397,Quercus lyrata - Carya aquatica Forest,Overcup Oak - Water Hickory Bottomland Forest,11-Sep-2012,,,
068-FRMA-17,21-Oct-2002,South Carolina,Berkeley,33.35132675,-79.7787632,Temporarily flooded,,,,Santee River Bottoms #2,1000,,-2,2,Low level,4,FMNF - NatureServe Milo Pyne,CEGL007864,Nyssa biflora - Acer rubrum var. rubrum / Lyonia lucida Forest,Sandhills Swamp Blackgum Floodplain Forest,11-Sep-2012,,,
068-FRMA-20,21-Oct-2002,South Carolina,Charleston,33.26108671,-79.56560248,Semipermanently flooded,,,,Price Landing Echaw Creek #1,1000,,-1,0,Low level,4,FMNF - NatureServe Milo Pyne,CEGL007431,Taxodium distichum - Nyssa aquatica / Fraxinus caroliniana Forest,Cypress - Tupelo Semipermanently Flooded Brownwater Swamp,11-Sep-2012,,,
068-FRMA-6,22-Oct-2002,South Carolina,Charleston,33.06445104,-79.68986115,,,,,Ocean Bay,1000,,-1,0,,4,FMNF - NatureServe Milo Pyne,CEGL004084,Pinus palustris / Quercus pumila - Gaylussacia dumosa / Schizachyrium scoparium Woodland,,11-Sep-2012,,,
068-FRMA-3,23-Oct-2002,South Carolina,Charleston,33.06030134,-79.685499,Saturated,,,,Ocean Bay,300,26.2,-1,0,,4,FMNF - NatureServe Milo Pyne,CEGL003944,Ilex glabra - Lyonia lucida - Zenobia pulverulenta Shrubland,Gallberry - Honeycups Low Pocosin,11-Sep-2012,,,
068-FRMA-4,23-Oct-2002,South Carolina,Charleston,33.03381327,-79.68309778,Saturated,,,,Ocean Bay #4,300,114.8,-1,0,,4,FMNF - NatureServe Milo Pyne,CEGL003944,Ilex glabra - Lyonia lucida - Zenobia pulverulenta Shrubland,Gallberry - Honeycups Low Pocosin,11-Sep-2012,,,
068-FRMA-13,23-Oct-2002,South Carolina,Berkeley,33.23228791,-79.46280289,Temporarily flooded,,,,Wambaw Creek #4,1000,,-1,0,,4,FMNF - NatureServe Milo Pyne,CEGL007732,"Liquidambar styraciflua - Quercus (laurifolia, nigra) - (Pinus taeda) / Arundinaria gigantea / Carex abscondita Forest",,11-Sep-2012,,,
068-FRMA-5,23-Oct-2002,South Carolina,Charleston,33.06493583,-79.69998708,Seasonally flooded,,,,Ocean Bay,300,108.3,-1,0,,4,FMNF - NatureServe Milo Pyne,CEGL007718,Carex striata var. striata - Xyris fimbriata - Lachnanthes caroliana Herbaceous Vegetation,Southern Peatland Sedge Depression,11-Sep-2012,,,
068-FRMA-7,23-Oct-2002,South Carolina,Charleston,33.04737523,-79.73953819,Seasonally flooded,,,,Harleston Dam Road,300,,-2,2,Interfluve,4,FMNF - NatureServe Milo Pyne,CEGL004441,Taxodium ascendens / Woodwardia virginica Woodland,Pond-cypress Savanna,11-Sep-2012,,,
068-FRMA-9,23-Oct-2002,South Carolina,Berkeley,33.16805594,-79.65191383,Seasonally flooded,,,,Echaw Creek at FS 159,1000,,-1,0,Low level,4,FMNF - NatureServe Milo Pyne,CEGL004733,Taxodium distichum - Nyssa biflora / Fraxinus caroliniana / Lyonia lucida Forest,Atlantic Coastal Plain Bald-cypress - Gum Swamp,11-Sep-2012,,,
068-FRMA-15,24-Oct-2002,South Carolina,Berkeley,33.22952442,-79.77337611,Saturated,,,,Big Ocean Bay #1,300,,-1,0,Basin floor,4,FMNF - NatureServe Milo Pyne,CEGL003846,Pinus serotina / Lyonia lucida - Ilex glabra - (Cyrilla racemiflora) Shrubland,Evergreen High Pocosin,11-Sep-2012,,,
051-08-0238,17-Jun-2003,South Carolina,Berkeley,33.16826711,-79.63731839,Semipermanently flooded,very poorly drained,Freshwater,,Francis Marion NF - Honey Hill,400,9.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004089,"Taxodium ascendens - Nyssa biflora / Carex striata - Rhynchospora (careyana, cephalantha, microcephala) Stringer Woodland",Atlantic Coastal Plain Pond-cypress Depression (Beaksedge Type),16-Dec-2010,4,Rains fine sandy loam,TYPIC PALEAQUULTS
051-08-0239,18-Jun-2003,South Carolina,Berkeley,33.16741877,-79.63852205,,,,,Francis Marion NF - Bluebird Road,800,7.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004089,"Taxodium ascendens - Nyssa biflora / Carex striata - Rhynchospora (careyana, cephalantha, microcephala) Stringer Woodland",Atlantic Coastal Plain Pond-cypress Depression (Beaksedge Type),16-Dec-2010,4,Lynchburg fine sandy loam,AERIC PALEAQUULTS
051-08-0240,20-Jun-2003,South Carolina,Berkeley,33.16473628,-79.6344429,Semipermanently flooded,very poorly drained,Freshwater,,Francis Marion NF - Schulerville Road,1000,8.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004087,Taxodium ascendens / Carex striata - Iris tridentata - (Woodwardia virginica) Depression Woodland,Atlantic Coastal Plain Pond-cypress Depression (Peatland Sedge Type),20-Dec-2010,4,Lynchburg fine sandy loam,AERIC PALEAQUULTS
051-08-0241,21-Jun-2003,South Carolina,Berkeley,33.16446122,-79.63477851,Semipermanently flooded,very poorly drained,Freshwater,,Francis Marion NF - Schulerville Road,100,9.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004087,Taxodium ascendens / Carex striata - Iris tridentata - (Woodwardia virginica) Depression Woodland,Atlantic Coastal Plain Pond-cypress Depression (Peatland Sedge Type),20-Dec-2010,4,Lynchburg fine sandy loam,AERIC PALEAQUULTS
051-08-0242,23-Jun-2003,South Carolina,Berkeley,33.15337756,-79.61554825,,,,,Francis Marion NF - Floridian Bay Flatwoods,200,11.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL007718,Carex striata var. striata - Xyris fimbriata - Lachnanthes caroliana Herbaceous Vegetation,Southern Peatland Sedge Depression,20-Dec-2010,3,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0243,23-Jun-2003,South Carolina,Berkeley,33.1550205,-79.61385148,,,,,Francis Marion NF - Floridian Bay Flatwoods,200,15.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL007829,Cyrilla racemiflora / Xyris fimbriata - Utricularia purpurea - Lycopodiella alopecuroides Shrubland,Titi Pond,16-Dec-2010,3,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0244,24-Jun-2003,South Carolina,Berkeley,33.15521654,-79.61390113,Semipermanently flooded,very poorly drained,Freshwater,,Francis Marion NF - Floridian Bay Flatwoods,1000,14.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL007419,"Taxodium ascendens / Ilex myrtifolia / Carex (striata, turgescens) Stringer Forest",Pond-cypress Stringer Forest,20-Dec-2010,2,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0245,25-Jun-2003,South Carolina,Berkeley,33.16585754,-79.64023344,,,,,Francis Marion National Forest,200,8.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004433,Pinus serotina / Arundinaria gigantea ssp. tecta Woodland,,16-Dec-2010,2,Rains fine sandy loam,TYPIC PALEAQUULTS
051-08-0246,26-Jun-2003,South Carolina,Berkeley,33.16690055,-79.6399017,Permanently flooded,very poorly drained,,,Francis Marion National Forest,100,7.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL003733,Taxodium ascendens / Panicum hemitomon - Polygala cymosa Woodland,Atlantic Coastal Plain Pond-cypress Savanna,16-Dec-2010,4,Rains fine sandy loam,TYPIC PALEAQUULTS
051-08-0247,26-Jun-2003,South Carolina,Berkeley,33.16691275,-79.64028182,Semipermanently flooded,very poorly drained,Freshwater,,Francis Marion National Forest,300,7.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004089,"Taxodium ascendens - Nyssa biflora / Carex striata - Rhynchospora (careyana, cephalantha, microcephala) Stringer Woodland",Atlantic Coastal Plain Pond-cypress Depression (Beaksedge Type),20-Dec-2010,4,Rains fine sandy loam,TYPIC PALEAQUULTS
051-08-0248,26-Jun-2003,South Carolina,Berkeley,33.16725355,-79.63978107,,,,,Francis Marion National Forest,100,7.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004087,Taxodium ascendens / Carex striata - Iris tridentata - (Woodwardia virginica) Depression Woodland,Atlantic Coastal Plain Pond-cypress Depression (Peatland Sedge Type),20-Dec-2010,3,Rains fine sandy loam,TYPIC PALEAQUULTS
051-08-0249,27-Jun-2003,South Carolina,Berkeley,33.05771057,-79.69505634,,,,,Francis Marion NF - Halfway Creek,800,19.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL003733,Taxodium ascendens / Panicum hemitomon - Polygala cymosa Woodland,Atlantic Coastal Plain Pond-cypress Savanna,20-Dec-2010,3,Chipley loamy fine sand,AQUIC QUARTZIPSAMMENTS
051-08-0107,28-Jun-2003,South Carolina,Berkeley,33.03231889,-79.73704697,Irregularly flooded,poorly drained,Freshwater,,Francis Marion National Forest,100,13.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004441,Taxodium ascendens / Woodwardia virginica Woodland,Pond-cypress Savanna,20-Dec-2010,4,Leon fine sand,AERICALAQUODS
051-08-0108,28-Jun-2003,South Carolina,Berkeley,33.0189161,-79.73480136,Irregularly flooded,poorly drained,Freshwater,,Francis Marion National Forest,100,14.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004087,Taxodium ascendens / Carex striata - Iris tridentata - (Woodwardia virginica) Depression Woodland,Atlantic Coastal Plain Pond-cypress Depression (Peatland Sedge Type),20-Dec-2010,4,Chipley-Echaw complex,
051-08-0250,30-Jun-2003,South Carolina,Charleston,33.04247637,-79.7101897,,,,,Francis Marion NF - Halfway Creek,1000,18.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004090,Taxodium ascendens - Aristida palustris Depression Woodland,Atlantic Coastal Plain Pond-cypress Depression (Longleaf Three-awn Type),16-Dec-2010,4,Chipley loamy fine sand,AQUIC QUARTZIPSAMMENTS
051-08-0251,01-Jul-2003,South Carolina,Charleston,33.04216313,-79.70971368,,,,,Francis Marion National Forest,500,18.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004441,Taxodium ascendens / Woodwardia virginica Woodland,Pond-cypress Savanna,20-Dec-2010,4,Rutlege loamy fine sand,TYPICHUMAQUEPTS
051-08-0252,03-Jul-2003,South Carolina,Berkeley,33.04441511,-79.70926904,,,Freshwater,,Francis Marion NF - Halfway Creek,400,17.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004131,Rhynchospora filifolia - Juncus abortivus Herbaceous Vegetation,Coastal Plain Limesink Pond (Threadleaf Beaksedge Type),16-Dec-2010,2,Chipley-Echaw complex,
051-08-0253,03-Jul-2003,South Carolina,Berkeley,33.04454879,-79.70920371,,,,,Francis Marion NF - Halfway Creek,400,17.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004441,Taxodium ascendens / Woodwardia virginica Woodland,Pond-cypress Savanna,16-Dec-2010,3,Chipley-Echaw complex,
051-08-0255,04-Jul-2003,South Carolina,Berkeley,33.06278396,-79.69167242,,,,,Francis Marion National Forest,300,17.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004441,Taxodium ascendens / Woodwardia virginica Woodland,Pond-cypress Savanna,16-Dec-2010,3,Chipley-Echaw complex,
051-08-0254,04-Jul-2003,South Carolina,Berkeley,33.06235229,-79.69053208,,,,,Francis Marion National Forest,100,16.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL003733,Taxodium ascendens / Panicum hemitomon - Polygala cymosa Woodland,Atlantic Coastal Plain Pond-cypress Savanna,16-Dec-2010,3,Chipley-Echaw complex,
051-08-0256,06-Jul-2003,South Carolina,Charleston,33.03461584,-79.7164348,,,,,Francis Marion National Forest,400,14.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004090,Taxodium ascendens - Aristida palustris Depression Woodland,Atlantic Coastal Plain Pond-cypress Depression (Longleaf Three-awn Type),20-Dec-2010,4,Rutlege loamy fine sand,TYPICHUMAQUEPTS
051-08-0257,06-Jul-2003,South Carolina,Charleston,33.03469855,-79.7161605,,,,,Francis Marion NF - Halfway Creek,100,13.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004441,Taxodium ascendens / Woodwardia virginica Woodland,Pond-cypress Savanna,20-Dec-2010,4,Rutlege loamy fine sand,TYPICHUMAQUEPTS
051-08-0258,08-Jul-2003,South Carolina,Berkeley,33.17014769,-79.59317473,,,,,Francis Marion National Forest,300,11.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004087,Taxodium ascendens / Carex striata - Iris tridentata - (Woodwardia virginica) Depression Woodland,Atlantic Coastal Plain Pond-cypress Depression (Peatland Sedge Type),16-Dec-2010,4,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0201,09-Jul-2003,South Carolina,Berkeley,32.9692311,-79.81341905,,,,,Francis Marion National Forest,1000,14.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004087,Taxodium ascendens / Carex striata - Iris tridentata - (Woodwardia virginica) Depression Woodland,Atlantic Coastal Plain Pond-cypress Depression (Peatland Sedge Type),17-Dec-2010,3,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0259,13-Jul-2003,South Carolina,Berkeley,33.07252212,-79.70451724,,,,,Francis Marion National Forest,200,16.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004087,Taxodium ascendens / Carex striata - Iris tridentata - (Woodwardia virginica) Depression Woodland,Atlantic Coastal Plain Pond-cypress Depression (Peatland Sedge Type),16-Dec-2010,4,Pickney loamy fine sand,CUMULICHUMAQUEPTS
051-08-0260,15-Jul-2003,South Carolina,Berkeley,33.09576599,-79.74592699,,,,,Francis Marion NF - Dog Swamp Road,300,10.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004089,"Taxodium ascendens - Nyssa biflora / Carex striata - Rhynchospora (careyana, cephalantha, microcephala) Stringer Woodland",Atlantic Coastal Plain Pond-cypress Depression (Beaksedge Type),20-Dec-2010,4,Lynchburg fine sandy loam,AERIC PALEAQUULTS
